SeniorCitizen,tenure,MonthlyCharges,Churn
0,1,29.85,No
0,34,56.95,No
0,2,53.85,Yes
0,45,42.3,No
0,2,70.7,Yes
0,8,99.65,Yes
0,22,89.1,No
0,10,29.75,No
0,28,104.8,Yes
0,62,56.15,No
0,13,49.95,No
0,58,100.35,No
0,49,103.7,Yes
0,25,105.5,No
0,69,113.25,No
0,71,106.7,No
0,10,55.2,Yes
0,21,90.05,No
1,1,39.65,Yes
0,58,59.9,No
0,49,59.6,No
0,30,55.3,No
0,47,99.35,Yes
0,1,30.2,Yes
0,72,90.25,No
0,17,64.7,Yes
1,71,96.35,No
1,2,95.5,No
0,27,66.15,No
1,1,45.25,No
0,72,99.9,No
0,5,69.7,Yes
0,46,74.8,No
0,34,106.35,Yes
0,11,97.85,Yes
0,10,49.55,No
0,70,69.2,No
0,63,79.85,No
0,13,76.2,No
0,49,84.5,No
0,2,49.25,No
0,2,80.65,Yes
0,52,79.75,No
0,69,64.15,No
1,43,90.25,No
0,15,99.1,Yes
1,25,69.5,No
1,8,80.65,Yes
1,60,74.85,No
1,18,95.45,Yes
0,63,99.65,No
1,66,108.45,No
0,72,107.5,No
0,47,100.5,No
0,60,89.9,No
0,72,42.1,No
0,18,54.4,No
0,9,94.4,Yes
0,3,75.3,No
0,47,78.9,No
0,31,79.2,No
0,10,79.85,No
0,1,49.05,No
1,64,111.6,No
0,3,64.5,No
1,56,110.5,No
0,46,55.65,No
0,8,54.65,No
1,30,74.75,No
0,1,79.35,Yes
0,11,50.55,No
0,7,75.15,Yes
0,42,103.8,No
0,9,99.3,No
0,35,62.15,No
0,29,33.75,No
0,30,82.05,No
1,1,74.7,No
0,66,84,No
0,65,111.05,No
0,72,100.9,No
0,12,78.95,Yes
0,71,66.85,No
1,25,98.5,Yes
0,38,95,No
1,66,45.55,No
0,68,110,Yes
0,5,24.3,No
0,72,104.15,No
0,32,30.15,No
0,43,94.35,No
0,55,96.75,Yes
0,52,57.95,No
0,43,91.65,No
1,37,76.5,Yes
0,64,54.6,No
0,3,89.85,No
0,36,31.05,No
0,10,100.25,Yes
0,27,85.2,No
0,56,99.8,No
0,3,74.4,Yes
0,7,50.7,No
0,33,88.95,No
1,27,78.05,Yes
1,71,56.45,No
0,13,85.95,No
0,25,58.6,Yes
0,67,50.55,No
0,1,35.45,Yes
0,2,44.35,Yes
0,23,75,No
1,1,70.45,Yes
1,72,88.05,No
0,8,71.15,Yes
0,61,101.05,No
0,64,84.3,No
0,65,99.05,No
0,1,45.65,Yes
0,30,64.5,No
0,15,69.5,No
0,8,68.55,No
0,7,95,Yes
0,70,108.15,No
0,62,86.1,No
0,14,80.9,No
0,22,84.15,No
0,16,64.25,No
0,13,56,No
0,20,82.4,Yes
0,2,69.7,No
0,53,73.9,No
0,4,70.9,Yes
0,72,89.05,No
1,58,45.3,Yes
0,43,84.25,No
0,2,104.4,Yes
0,14,81.95,No
0,53,94.85,Yes
1,15,74.45,Yes
1,7,76.45,Yes
0,15,105.35,No
0,1,29.95,Yes
0,1,45.3,No
0,8,84.5,Yes
0,33,74.75,No
0,13,79.25,Yes
0,1,24.8,Yes
0,20,51.8,No
0,3,30.4,No
0,40,56.6,No
0,43,71.9,No
0,6,91,Yes
0,72,109.7,No
0,20,96.55,No
0,59,111.35,No
0,72,112.25,No
0,27,101.9,No
0,14,80.05,No
0,71,105.55,No
0,13,78.3,No
0,44,68.85,No
0,33,79.95,No
0,72,55.45,No
0,1,79.9,Yes
0,19,106.6,Yes
0,64,102.45,No
0,2,46,Yes
0,1,25.25,No
1,23,86.8,No
0,57,58.75,No
0,72,45.25,No
0,66,56.6,No
0,65,84.2,No
0,8,80,No
0,4,70.15,Yes
0,4,50.05,Yes
0,24,50.6,No
0,31,81.15,No
0,1,55.2,Yes
0,30,89.9,No
0,47,85.3,No
0,54,108,No
0,50,93.5,No
0,1,84.6,Yes
0,2,54.4,Yes
0,10,29.6,No
0,18,73.15,No
1,11,95,Yes
0,72,86.6,No
0,72,109.2,No
0,41,74.7,No
1,65,94.4,No
1,13,54.8,No
1,4,75.35,No
0,41,65,No
1,15,74.4,Yes
0,1,48.55,Yes
0,42,99,No
0,51,93.5,No
0,2,70.4,Yes
1,1,40.2,Yes
0,32,83.7,No
0,67,59.55,No
0,61,115.1,No
0,50,114.35,No
0,2,44.6,Yes
1,29,45,No
1,3,41.15,Yes
1,13,106.9,Yes
1,57,89.85,No
0,31,49.85,No
0,45,113.3,No
0,61,88.1,No
1,19,105,No
1,16,94.45,Yes
0,57,59.75,No
0,1,24.8,Yes
1,20,107.05,No
0,1,70.6,Yes
0,5,85.4,Yes
0,52,105.05,Yes
1,21,64.95,No
0,14,55,No
0,5,50.55,No
0,6,55.15,No
0,10,51.2,No
0,68,54.45,No
0,18,95.15,Yes
0,22,76,No
0,20,44.35,No
0,1,70,Yes
1,8,74.5,Yes
0,10,44.85,Yes
1,24,76.1,Yes
0,35,61.2,No
0,23,86.8,No
1,6,89.35,No
0,71,76.05,No
1,35,100.8,No
0,40,74.55,No
0,1,73.6,Yes
0,23,64.9,No
1,4,95.45,Yes
0,4,90.4,No
0,68,60.3,No
0,38,81.85,No
1,32,74.9,Yes
0,29,75.55,No
1,38,101.15,No
0,48,78.75,No
0,22,89.05,No
0,43,115.05,No
1,5,69.35,No
0,5,80.6,Yes
0,51,110.05,No
0,38,80.3,Yes
1,24,93.15,Yes
0,35,91.5,No
1,54,82.45,Yes
0,72,60,No
0,1,44.8,No
0,9,48.6,No
0,69,60.05,No
0,52,102.7,No
1,11,82.9,No
1,2,70.35,Yes
1,28,35.9,No
1,17,82.65,No
0,46,94.9,No
0,7,73.85,Yes
0,2,80.6,Yes
0,68,75.8,Yes
0,43,104.6,Yes
0,68,88.15,No
0,36,94.8,No
0,63,103.4,Yes
1,32,54.65,No
0,71,85.75,No
0,66,67.45,No
1,1,72.1,No
0,2,90.4,Yes
0,23,44.95,No
1,64,97,No
0,37,62.8,No
0,17,44.6,No
1,7,89.15,No
0,4,84.8,Yes
1,21,41.9,Yes
0,10,80.25,Yes
1,16,54.1,No
0,64,105.25,No
1,27,30.75,Yes
0,42,97.1,No
